City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Sao Bras De Alportel,PT,37.1531,-7.8875,81.28,48,0,17.27,clear sky
128,Butaritari,KI,3.0707,172.7902,81.37,76,5,16.04,light rain
129,Alta Gracia,AR,-31.6529,-64.4283,61.88,78,100,6.64,overcast clouds
130,Kambove,CD,-10.8764,26.5969,62.06,44,96,3.91,overcast clouds
131,Kutum,SD,14.2,24.6667,68.77,87,95,15.59,heavy intensity rain
132,Abonnema,NG,4.7084,6.7931,75.51,90,100,8.59,moderate rain
133,Sur,OM,22.5667,59.5289,82.42,72,16,21.07,few clouds
134,Olkhovatka,RU,50.2831,39.2872,72.81,66,98,5.01,overcast clouds
135,Belyy Yar,RU,53.6039,91.3903,60.69,74,0,4.47,clear sky
136,Faanui,PF,-16.4833,-151.75,77.99,77,6,21.7,clear sky
137,Hearst,CA,49.6835,-83.6665,61.41,98,100,4.45,heavy intensity rain
138,Praia Da Vitoria,PT,38.7333,-27.0667,78.76,87,72,5.66,broken clouds
139,Sambava,MG,-14.2667,50.1667,69.33,85,3,10.58,clear sky
140,Bay Roberts,CA,47.5999,-53.2648,73.15,97,100,8.84,overcast clouds
141,Dondo,MZ,-19.6094,34.7431,65.71,75,0,5.91,clear sky
142,Kavieng,PG,-2.5744,150.7967,82.27,73,98,18.32,overcast clouds
143,Torbay,CA,47.6666,-52.7314,72.37,88,75,11.5,broken clouds
144,At-Bashi,KG,41.1702,75.8106,63.77,43,8,1.23,clear sky
145,Nanortalik,GL,60.1432,-45.2371,44.64,82,68,5.46,broken clouds
146,Okha,RU,53.5739,142.9478,52.3,93,33,7.74,scattered clouds
147,Kralendijk,BQ,12.15,-68.2667,85.98,70,75,14.97,broken clouds
148,Ugoofaaru,MV,5.6667,73.0,82.09,75,66,15.03,broken clouds
149,Mayo,US,38.8876,-76.5119,90.66,72,95,3.0,overcast clouds
150,Broome,US,42.2506,-75.833,85.01,51,0,11.5,clear sky
151,Saint-Augustin,CA,51.226,-58.6502,70.38,59,76,13.04,broken clouds
152,Hasaki,JP,35.7333,140.8333,77.4,90,100,17.4,overcast clouds
153,Narsaq,GL,60.9167,-46.05,57.42,75,23,7.78,few clouds
154,Corralillo,CU,22.9819,-80.5856,87.66,62,80,17.25,broken clouds
155,Ostrovnoy,RU,68.0531,39.5131,66.54,74,100,20.85,overcast clouds
156,Piranhas,BR,-16.4269,-51.8222,92.59,17,0,5.08,clear sky
157,Wattegama,LK,6.7989,81.4808,74.68,92,99,3.02,overcast clouds
158,Banda Aceh,ID,5.5577,95.3222,78.46,81,100,7.07,heavy intensity rain
