City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Lugo,ES,72.91,clear sky,43.0,-7.5,Hotel Torre de Núñez
286,Ouesso,CG,78.12,overcast clouds,1.6136,16.0517,ABENIE Hotel
289,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
291,Lata,PT,72.81,clear sky,40.1629,-8.3327,Casa Maquia
292,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
294,Sri Aman,MY,74.28,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
296,Vila,PT,76.69,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
298,Claresholm,CA,71.2,clear sky,50.0333,-113.5852,Bluebird Motel
300,Bengkulu,ID,76.48,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
301,Boyolangu,ID,72.3,broken clouds,-8.1181,111.8935,Yos ega cv
303,Nhulunbuy,AU,72.21,clear sky,-12.2333,136.7667,East Arnhem Real Estate
304,Sechura,PE,76.32,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
305,Mahibadhoo,MV,82.78,overcast clouds,3.7833,72.9667,Omadhoo Inn
308,Ixtapa,MX,89.22,broken clouds,20.7,-105.2,hotel la terminal
312,Bereda,ES,73.58,clear sky,43.2686,-7.5406,Pazo de Verdes
315,Matiguas,NI,82.29,light rain,12.8373,-85.4622,Hotel Bethel
317,Abasolo,MX,73.67,overcast clouds,20.45,-101.5167,Hotel y Parque Acuático La Caldera
319,Mawlaik,MM,77.76,overcast clouds,23.6333,94.4167,AKZ Guest House
321,Alegrete,BR,78.78,overcast clouds,-29.7831,-55.7919,Hotel Alegrete
322,Najran,SA,86.07,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
328,Waingapu,ID,73.18,few clouds,-9.6567,120.2641,Pondok Wisata Elim
330,Shenjiamen,CN,80.1,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
332,Grand Gaube,MU,71.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
333,Hami,CN,86.16,broken clouds,42.8,93.45,Laoyutang Resort
334,Grand-Santi,GF,85.42,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
337,Kismayo,SO,75.7,scattered clouds,-0.3582,42.5454,Agan-Hotel
339,Rocha,UY,71.19,broken clouds,-34.4833,-54.3333,Hotel Arrarte
341,Arawa,PG,75.22,broken clouds,-6.2132,155.5367,Coastline Guest House
342,High Rock,BS,84.42,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
343,Labuhan,ID,76.66,broken clouds,-6.8844,112.2051,DoubleFAG
345,Wad Rawah,SD,85.17,overcast clouds,15.1603,33.1397,حوش جلي ودراوة
347,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
349,Camacha,PT,71.02,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
350,Moerai,PF,71.74,broken clouds,-22.4333,-151.3333,Le Manotel
352,Srivardhan,IN,79.63,moderate rain,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
353,Shimoda,JP,77.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
